[2017-03-06 16:37:43]WorkStatu [rcvTime=2017-03-06 16:19:39.055, imei=800000000000013, msgTime=2017-03-06 16:19:10.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:43]WorkStatu [rcvTime=2017-03-06 16:19:44.493, imei=800000000000033, msgTime=2017-03-06 16:19:16.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:44]WorkStatu [rcvTime=2017-03-06 16:19:40.461, imei=800000000000041, msgTime=2017-03-06 16:19:12.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:44]WorkStatu [rcvTime=2017-03-06 16:19:16.711, imei=800000000000009, msgTime=2017-03-06 16:18:48.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:44]WorkStatu [rcvTime=2017-03-06 16:19:43.196, imei=800000000000038, msgTime=2017-03-06 16:19:15.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:44]WorkStatu [rcvTime=2017-03-06 16:19:34.993, imei=800000000000010, msgTime=2017-03-06 16:19:06.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:44]WorkStatu [rcvTime=2017-03-06 16:19:19.758, imei=800000000000020, msgTime=2017-03-06 16:18:51.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:44]WorkStatu [rcvTime=2017-03-06 16:19:44.680, imei=800000000000049, msgTime=2017-03-06 16:19:16.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:44]WorkStatu [rcvTime=2017-03-06 16:19:24.290, imei=800000000000050, msgTime=2017-03-06 16:18:56.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:45]WorkStatu [rcvTime=2017-03-06 16:19:45.336, imei=800000000000003, msgTime=2017-03-06 16:19:17.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:45]WorkStatu [rcvTime=2017-03-06 16:20:02.962, imei=800000000000046, msgTime=2017-03-06 16:19:34.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:45]WorkStatu [rcvTime=2017-03-06 16:19:24.821, imei=800000000000009, msgTime=2017-03-06 16:18:56.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:48]WorkStatu [rcvTime=2017-03-06 16:19:47.305, imei=800000000000039, msgTime=2017-03-06 16:19:19.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:48]WorkStatu [rcvTime=2017-03-06 16:19:30.930, imei=800000000000043, msgTime=2017-03-06 16:19:02.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:48]WorkStatu [rcvTime=2017-03-06 16:19:49.040, imei=800000000000014, msgTime=2017-03-06 16:19:20.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:48]WorkStatu [rcvTime=2017-03-06 16:19:42.415, imei=800000000000015, msgTime=2017-03-06 16:19:14.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:48]WorkStatu [rcvTime=2017-03-06 16:19:47.118, imei=800000000000008, msgTime=2017-03-06 16:19:19.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:51]WorkStatu [rcvTime=2017-03-06 16:19:54.680, imei=800000000000025, msgTime=2017-03-06 16:18:56.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:51]WorkStatu [rcvTime=2017-03-06 16:19:46.227, imei=800000000000034, msgTime=2017-03-06 16:18:48.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:52]WorkStatu [rcvTime=2017-03-06 16:19:44.102, imei=800000000000035, msgTime=2017-03-06 16:19:16.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:52]WorkStatu [rcvTime=2017-03-06 16:19:38.665, imei=800000000000012, msgTime=2017-03-06 16:19:10.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:52]WorkStatu [rcvTime=2017-03-06 16:19:29.571, imei=800000000000011, msgTime=2017-03-06 16:19:01.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:52]WorkStatu [rcvTime=2017-03-06 16:19:48.196, imei=800000000000030, msgTime=2017-03-06 16:19:20.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:53]WorkStatu [rcvTime=2017-03-06 16:20:12.915, imei=800000000000049, msgTime=2017-03-06 16:19:44.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:54]WorkStatu [rcvTime=2017-03-06 16:19:55.118, imei=800000000000009, msgTime=2017-03-06 16:18:57.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:55]WorkStatu [rcvTime=2017-03-06 16:19:57.196, imei=800000000000013, msgTime=2017-03-06 16:19:29.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:55]WorkStatu [rcvTime=2017-03-06 16:19:22.180, imei=800000000000004, msgTime=2017-03-06 16:18:54.246, pgnId=13, listItem={72=1, 73=0}]
